编码-公司名,编码,公司名-简体,公司名-繁体,本位币,父节点编号,父节点中文名称,share,合并节点,最新更新日期
TCP0190 - 通州华润印染有限公司(PRC虚拟节点),TCP0190,通州华润印染有限公司(PRC虚拟节点),通州華潤印染有限公司(PRC虛擬節點),CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
XTA0000 - 咸阳华润纺织有限公司,XTA0000,咸阳华润纺织有限公司,鹹陽華潤紡織有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
YNA0000 - 烟台华润锦纶有限公司,YNA0000,烟台华润锦纶有限公司,煙臺華潤錦綸有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),TRUE,,7/3/2012
THF0000 - 华润纺织(合肥)有限公司,THF0000,华润纺织(合肥)有限公司,華潤紡織(合肥)有限公司,CNY,CLI0100,华润纺织投资发展有限公司(PRC合并),,,7/3/2012
JIN0100 - 华润锦华股份有限公司(PRC合并),JIN0100,华润锦华股份有限公司(PRC合并),華潤錦華股份有限公司(PRC合併),CNY,LIT0100,华润纺织(集团)有限公司(PRC合并),,TRUE,7/3/2012
JIN0000 - 华润锦华股份有限公司,JIN0000,华润锦华股份有限公司,華潤錦華股份有限公司,CNY,JIN0100,华润锦华股份有限公司(PRC合并),,,7/3/2012
YNA0000 - 烟台华润锦纶有限公司,YNA0000,烟台华润锦纶有限公司,煙臺華潤錦綸有限公司,CNY,JIN0100,华润锦华股份有限公司(PRC合并),,,7/3/2012
SCA0000 - 山东华润厚木尼龙有限公司,SCA0000,山东华润厚木尼龙有限公司,山東華潤厚木尼龍有限公司,CNY,LIT0100,华润纺织(集团)有限公司(PRC合并),TRUE,,7/3/2012
SCA0190 - 山东华润厚木尼龙有限公司（PRC虚拟节点）,SCA0190,山东华润厚木尼龙有限公司（PRC虚拟节点）,山東華潤厚木尼龍有限公司(PRC虛擬節點）,HKD,LIT0100,华润纺织(集团)有限公司(PRC合并),,,7/3/2012
TEX0100 - 华润纺织品有限公司(PRC合并),TEX0100,华润纺织品有限公司(PRC合并),華潤紡織品有限公司(PRC合併),HKD,LIT0100,华润纺织(集团)有限公司(PRC合并),,TRUE,7/3/2012
